artist,name,city,venue,date,genres,popularity
Javed Ali,Javed Ali Live,Bhopal,MPT DDX Drive In Cinema,10/25/2025 19:00,Bollywood,85
Kavita Krishnamurthy,Kavita Krishnamurthy Live,Jaipur,Birla Mandir Auditorium,10/25/2025 19:00,Bollywood,80
Sonu Nigam,Tribute to Mohammed Rafi,Srinagar,SK International Convention Centre,10/26/2025 18:30,Bollywood,90
Enrique Iglesias,Enrique Iglesias Live,Mumbai,MMRDA Grounds,10/29/2025 18:30,Pop,95
Enrique Iglesias,Enrique Iglesias Live,Mumbai,MMRDA Grounds,10/30/2025 18:30,Pop,95
Gulzar,Gulzar Live Show,Mumbai,Tata Theatre: NCPA,10/31/2025 18:30,Poetry/Music,88
Shilpa Rao,Shilpa Rao Live,Delhi,Taj Palace,10/31/2025 19:00,Indie,85
Kailash Kher,Kailash Kher Live,Mumbai,The Grand Theatre,10/31/2025 19:30,Folk,90
Salman Ali,Salman Ali Live,Mumbai,Shanmukhananda Hall,11/1/2025 18:00,Bollywood,80
Armaan Malik,Armaan Malik Live,Mumbai,DOME,11/1/2025 19:00,Pop,88
Sonu Nigam,Sonu Nigam Live,Gurugram,Gymkhana Club,11/1/2025 19:00,Bollywood,90
Kailash Kher,Kailash Kher Live,Bengaluru,Phoenix Marketcity,11/1/2025 19:30,Folk,88
Papon,Papon Live,Jaipur,Deep Smriti Auditorium,11/1/2025 20:00,Folk,85
Zakir Khan,Zakir Khan Live,Delhi,Indira Gandhi Indoor Stadium,11/1/2025 20:00,Comedy,90
Amit Kumar,Amit Kishor Kumar Live,Mumbai,Vishnudas Bhave Natyagruha,11/1/2025 20:30,Bollywood,80
Lucky Ali,Lucky Ali Live,Delhi,Yashobhoomi Convention Center,11/2/2025 19:00,Folk,85
Papon,Papon Live,Bengaluru,Manpho Convention Centre,11/2/2025 20:00,Folk,85
Piyush Mishra,Piyush Mishra Live,Mumbai,Shanmukhananda Hall,11/7/2025 19:00,Indie,80
Calvin Harris,Calvin Harris Live,Mumbai,,11/8/2025 16:00,EDM,95
Sajjan Raj Vaidya,Sajjan Raj Vaidya Live,Siliguri,Utssav Resorts,11/8/2025 18:00,Indie,85
Shaan,Shaan Concert,Pune,Pandit Farms,11/8/2025 19:00,Bollywood,88
AR Rahman,AR Rahman Live,Hyderabad,Ramoji Film City,11/8/2025 19:00,Classical,95
Ilaiyaraaja,Ilaiyaraaja Concert,Vijayawada,Indira Gandhi Municipal International Stadium,11/8/2025 19:00,Classical,92
Sonu Nigam,Sonu Nigam Live,New Chandigarh,World Street,11/8/2025 19:00,Bollywood,90
Papon,Papon Live,Delhi,Zorba Entertainment Private Limited,11/8/2025 20:00,Folk,85
Calvin Harris,Calvin Harris Live,Bengaluru,,11/9/2025 16:00,EDM,95
Akon,Akon Concert,Delhi,JLN Jawaharlal Nehru Stadium,11/9/2025 19:00,Pop,95
Adnan Sami,Adnan Sami Concert,Bengaluru,Phoenix Market City,11/9/2025 19:00,Bollywood,88
Sonu Nigam,Sonu Nigam Concert,Mumbai,MMRDA Grounds,11/9/2025 19:30,Bollywood,90
Samay Raina,Samay Raina Live,Delhi,Indira Gandhi Indoor Stadium,11/9/2025 20:00,Comedy,85
